acpl,cpl_std,critical_accuracy,skill_consistency_gap,think_time_std,low_acpl_game_rate,outlier_game_count,avg_rating,num_games,player,is_cheater
0.2686051319469779,0.5747164966712561,0.5698368483883804,0.0221261841477544,5.10779020761497,0.1743119266055046,0.0,2764.7053571428573,224,asdert9,False
0.2957113652687994,0.6012808545207131,0.5391304347826087,-0.0116130793143263,4.0985508425473665,0.0790123456790123,0.0,2913.730864197531,405,faustioro,False
0.2357035175879397,0.5548071171351422,0.4747899159663865,-0.0365188216039279,2.934307202156654,0.1538461538461538,0.0,2805.0882352941176,34,kuhjft,False
0.3419954389965792,0.6742191801112042,0.4777777777777778,-0.0159700891573194,4.988530179376867,0.0,0.0,2743.076923076923,39,canc3111,False
0.3216659202866099,0.6224190427239714,0.4688473520249221,0.0159824820971591,4.621202042858435,0.0204081632653061,1.0,2676.8703703703704,54,eskijagged1993,False
0.3031591173054587,0.6298220783741891,0.4663774403470715,-0.0269512733446518,4.813221086178858,0.0789473684210526,1.0,2793.5,38,andrey11976,False
0.4022608695652174,0.7174779429457999,0.4908424908424908,-0.0198606060606059,6.881966542924585,0.0,0.0,2732.4814814814813,27,derdimcokanacan,False
0.3621871599564744,0.6998010783800959,0.4823943661971831,0.0119489059391872,3.7375045626256544,0.0,0.0,2696.294117647059,17,chainsoffantasia,False
0.3121160409556314,0.6783273144867935,0.5497076023391813,0.069738007863696,6.125976728685382,0.0714285714285714,0.0,2670.4444444444443,18,bonecrusher2020,False
0.3299999999999999,0.6291680607414747,0.5111111111111111,0.0336390433096315,4.298983577160636,0.0769230769230769,0.0,2782.9333333333334,15,quarterpawn,False
0.3213612565445026,0.5621687905557022,0.3939393939393939,-0.0489819314641744,4.6436151398189685,0.0833333333333333,0.0,2559.8125,16,burma555,False
0.3861636363636363,0.6802299147049504,0.3611111111111111,-0.0250424452133795,5.5195889534820095,0.0,0.0,2810.3333333333335,15,dr_blindpew,False
0.2590554722638681,0.5710311630084001,0.5306990881458966,-0.0230178309317773,4.4657201850950905,0.1764705882352941,0.0,2935.007299270073,137,cutemouse83,False
0.2824019607843137,0.5732200200348069,0.5471698113207547,-0.0111417735638594,3.629063260151765,0.0454545454545454,0.0,2874.7272727272725,22,tuzakli_egitim,False
0.3396308724832215,0.6516853715378458,0.446078431372549,-0.0113240857503152,4.301205971466774,0.0769230769230769,1.0,2751.6923076923076,26,notkevich,False
0.2684445909048112,0.5523555624935311,0.5421728566469975,-0.0166530807955471,3.810673926649484,0.1194029850746268,0.0,2920.4947807933195,479,winx_m,False
0.3520898437499999,0.658203239849922,0.4285714285714285,-0.0030002283974114,4.208232440140671,0.027027027027027,1.0,2676.972972972973,37,mischuk_d,False
0.3960543130990415,0.6999622926326784,0.4549763033175355,-0.0780590639810426,4.204619428922741,0.0625,1.0,2660.4375,16,ordekalog,False
0.3494059405940594,0.6664122280199234,0.4528985507246377,-0.0778288901937758,5.801561596420158,0.1538461538461538,0.0,2747.923076923077,26,dr-cro,False
0.3782880809940175,0.7493789518433598,0.4773662551440329,-0.0278598539074258,5.331441491554612,0.0377358490566037,0.0,2807.6585365853657,82,vistagusta,False
0.3681165540540541,0.6702433124631972,0.4510739856801909,-0.0462087458013816,5.122163394063282,0.0,0.0,2728.0967741935483,31,filolog,False
0.3469384359400998,0.6315458765704945,0.3895348837209302,-0.0354205128205127,4.452992813821412,0.0666666666666666,1.0,2613.0,15,recobachess,False
0.295720661876769,0.6184799673215382,0.5343994049832651,0.0143327690665002,4.738089913748766,0.1635514018691588,0.0,2840.997536945813,406,woshigeshagua,False
0.3324285714285714,0.6789174205642232,0.4910179640718562,-0.0236859903381643,4.585548286693708,0.0714285714285714,1.0,2640.9285714285716,28,kasparik_garik,False
0.4662773722627737,0.8118407553921659,0.4081632653061224,-0.1965513157894736,4.554011966236886,0.0,0.0,2667.2,15,kos1189,False
0.4124242424242424,0.7651933935780385,0.3658536585365853,-0.0831792526491913,5.105620523482462,0.0,0.0,2771.0,20,vahe_s,False
0.2973278800272665,0.6188042459553286,0.5155709342560554,-0.0159651774739747,4.594964659493016,0.0857142857142857,0.0,2861.493506493506,77,vistagausta,False
0.2824552845528455,0.5797009216567061,0.4615384615384615,-0.0385058275058274,4.727576521329598,0.1153846153846153,0.0,2747.3076923076924,26,buyofl,False
0.3611262798634812,0.7231145385971224,0.4788990825688073,-0.0411844691954202,5.207383332477631,0.1142857142857142,0.0,2811.8333333333335,60,switzerlandchair,False
0.3186900046061722,0.6352678121630865,0.5054512416717141,-0.031721851177531,3.8441024502287937,0.0941176470588235,0.0,2885.8014354066986,418,ilqar_7474,False
0.3957981462409887,0.7104222330152485,0.4560906515580736,-0.0684020050125313,4.440356780625134,0.0434782608695652,1.0,2738.0,23,j_oneee,False
0.3010098522167487,0.6397231402147735,0.4779661016949152,-0.0170420741646291,4.623059250556849,0.0869565217391304,0.0,2826.0416666666665,24,kaputvsemu,False
0.2978266494178525,0.6578930153346821,0.5107398568019093,-0.0114620309810671,4.568366878149364,0.1714285714285714,0.0,2886.1111111111113,36,invisibleguest2023,False
0.3780650154798762,0.6802815175656387,0.4461206896551724,0.0009300881151944,5.966601174208675,0.0,0.0,2651.0555555555557,36,massterofmayhem,False
0.295373781148429,0.6040229398446861,0.4661354581673306,0.0090284556797926,3.847393381528412,0.0,0.0,2784.0588235294117,17,iamstraw,False
0.3687483530961792,0.7190010187757605,0.4336283185840708,-0.0383575091575092,7.268412392864272,0.05,1.0,2680.9285714285716,28,carlsen_brat,False
0.3687394957983193,0.6717320480812247,0.4952741020793951,-0.0165437117737003,3.9066324717581633,0.0,1.0,2691.28125,32,chess-network,False
0.2936027713625866,0.6126823236704957,0.5172413793103449,-0.0124429149797571,4.787613777448709,0.0,0.0,2622.2,15,hierasousse,False
0.300436253776435,0.6162230169845123,0.5541149943630215,-0.0238333660549884,4.009732533502961,0.0942928039702233,0.0,2960.17037037037,405,may6enexttime,False
0.2107883817427386,0.4906615493877513,0.4845360824742268,0.022865882352941,2.3642509620533625,0.2666666666666666,0.0,2709.2,15,mitrabha,False
0.3408160442600276,0.6488664640370828,0.4866071428571428,-0.0134812845303867,3.9709536170650863,0.125,0.0,2824.3125,16,kontrajako,False
0.3576227390180878,0.7013586167958145,0.4636871508379888,-0.0037073802465285,3.552825866138651,0.0689655172413793,0.0,2649.7586206896553,29,wild_of_luck,False
